maps_name,maps_city,maps_address,maps_phone,maps_website,maps_category,apollo_industry,apollo_employee_count,contact_name,contact_title,contact_email,contact_phone,source,notes
Meet Designing & Drafting Services,Vadodara,"D-78 Shree Darshan -2 society, TP 13, Chhani Jakatnaka, Vadodara, Gujarat 390024",099048 29536,,Drafting Service Center,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Variational Technologies Pvt. Ltd. - 3D Scanning | CMM Inspection | Reverse Engineering | 3D scanning to BIM,Vadodara,"H, Lotus Aura, 219 G, Sama - Savli Rd, Vemali, Vadodara, Gujarat 390008",063526 02969,https://www.variationaltech.com/,Mechanical engineer,,,,,,,none,Apollo org not found for domain variationaltech.com
ScanPrint3D | 3D Scanning | Printing | 3D Modeling Services | VADODARA | GUJARAT,Vadodara,"FIRST FLOOR, 989/16/ A2, near GAYATRI KRUPA ICE INDUSTRIES, Makarpura GIDC, Makarpura, Vadodara, Gujarat 390010",,https://scanprint3d.in/,3D printing service,mechanical or industrial engineering,,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
ENGenius Consultant | Freelancer | Mechanical Design | CAD | Stress Analysis | FEA | Simulation | CFD | Vadodara,Vadodara,"856F+33G, Ground floor, Crown chambers, RC Dutt Rd, Vishwas Colony, Vadodara, Gujarat 390007",099989 15886,,Mechanical engineer,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
JS Innovation(A 3D Technology Company),Vadodara,"Mahakali Mandir Lane, 69-A, Susen, near Gurudwara, Moti Nagar 2, Anand Baug Society, Tarsali, Vadodara, Gujarat 390009",070166 87918,https://jsinnovation.netlify.app/,3D printing service,,,,,,,none,Apollo org not found for domain jsinnovation.netlify.app
Engineering project work - MechDynamics engineering,Vadodara,"FF/21 , Shree siddhanath planet B/S omkara heritage New, Karelibagh, Vadodara, Gujarat 390022",081400 06196,http://www.mechdynamics.in/,Design engineer,mechanical or industrial engineering,1,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Definite CMM Services (Inspection by Faro Arm and Laser Tracker in all over india),Vadodara,"GF/8, Mahfuz Complex, Tandalja Rd, Ayeshapark, Tandalja, Vadodara, Gujarat 390012",082004 10535,http://definitecmm.wixsite.com/home,Mechanical engineer,,,,,,,none,Apollo org not found for domain definitecmm.wixsite.com
3D buddy,Vadodara,"C404, saffron basic, near rudraksh rivera, Sayaji Park Society, Vadodara, Gujarat 390019",096872 75697,,Drafting Service Center,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Vexma Technologies - Online Metal and Polymer 3D Printing,Vadodara,"Mona Tiles Compound, Nr. Channi Circle, Channi Road opp L&T health care, opp. TAM house, Vadodara, Gujarat 390024",094268 87368,https://vexmatech.com/,3D printing service,mechanical or industrial engineering,43,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
CAD Amen Engineering Consultant,Gandhinagar,"Tower IV, OfficiallyYours CoWorking Space, Infocity, Gandhinagar, Gujarat 382007",095124 04255,https://www.cadamen.com/,Engineering consultant,mechanical or industrial engineering,,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Mechanical design consultant,Vadodara,"11Shivanand society, Ajwa Rd, Vadodara, Gujarat 390019",,,Mechanical engineer,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
India CAD Works,Bengaluru,"No.6, 3rd Floor, Ganesh Chamber, Dodda Banaswadi, Bengaluru, Karnataka 560043",080 4269 2635,https://www.indiacadworks.com/,Engineering consultant,civil engineering,2,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
CAD PROFICIENT,Vadodara,"Saifee Mohalla, Mandvi, Vadodara, Gujarat 390017",,,Drafting Service Center,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
KP CAD Service,Vadodara,"NEAR, Gotri, Vadodara, Gujarat 391101",097240 55137,,Drafting Service Center,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
CAD SERVICES,Thane,"Hanuman Nagar, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604",086524 96697,,Design engineer,,,Ankit Kondal,Managing Director,,,none,"no website on Maps listing, cannot org-match on Apollo"
CAD DESIGNING & DRAFTING SERVICES MUMBAI,Mumbai,"D Wing, Kamala City, Office 6A, Trade World, Senapati Bapat Marg, next to World One, Towers, Lower Parel West, Mumbai, Maharashtra 400013",097698 09434,https://www.designitech.in/,Drafting Service Center,machinery,4,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Descon Design,Rajkot,"1 main road, Girnar society, Chandreshnagar Main Rd, near mama saheb temple, Aditya Park, Chandreshnagar, Rajkot, Gujarat 360004",075676 90393,http://www.descondesign.in/,Industrial design company,,,Narendra Jotaniya,Production Manager,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Vinayak CAD Services,Ankleshwar,"1st Floor 24, Jaldhara Chowkdi, GaldharaChokdi, Ankleshwar GIDC, Ankleshwar, Gujarat 393002",093761 34077,,Engineering consultant,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
TrueCADD,Ahmedabad,"Hi-Tech House, B/H V-Murti Complex, Near Gurukul Tower, Gurukul, Ahmedabad, Gujarat 380054",079 4000 3252,https://www.truecadd.com/,Drafting Service Center,outsourcing/offshoring,2,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Smart Design Center,"Vadodara, Padra","B-40, Darji Dhwarkadhish soc, Nr Sardar Patel market cross road. Padra, Vadodara, Gujarat 391440",096012 70563,https://smartdesigncenter.wixsite.com/padra,Engineering consultant,,,Dr Suresh Kumar Balakrishnan,Evaluator,,,none,Apollo org not found for domain smartdesigncenter.wixsite.com
