First Name,Last Name,Headline,Location,Company,Title,LinkedIn URL
Harish,Chandra,Carving SarvMAI - lets talk omni commerce | Tech and Product Advisor |  Happy to help | GCC | startups,"Bengaluru, Karnataka, India",SarvM.AI,Founder - CTO,https://www.linkedin.com/in/harishchal
Ganesh,Subramanian,"Advancing effectiveness, eliminating waste universally","Bengaluru, Karnataka, India",Stylumia,Founder & CEO,https://www.linkedin.com/in/ganesh-subramanian-stylumia
Nitin,Pandey,Founder I Building India’s Largest Parenting Platform | Powering Brands Digitally for Impact I Child Development Advocate I Entrepreneurship I Culture I Community I,"Gurgaon, Haryana, India",parentune.com,Founder & CEO,https://www.linkedin.com/in/nitinparentune
Rush,Token,Owner at Hike,"Delhi, India",Hike,Owner,https://www.linkedin.com/in/rush-token-420695226
Rush,DAO,Owner at Hike,"New Delhi, Delhi, India",Hike,Owner,https://www.linkedin.com/in/rush-dao-4924a4226
Asad,Ali,Founder at InternCareer,"Bengaluru, Karnataka, India",InternCareer,Founder,https://www.linkedin.com/in/theanalystasad
Priyanka,Gupta,Building HR Tech @CollectivWork | Founder @Tech Superior Consulting | Leading HR Tech Innovation | Bridging Business & Technology,"Gurugram, Haryana, India",CollectivWork,Founder,https://www.linkedin.com/in/priyankagupta007
Neha,Bagaria,"Founder & CEO, HerKey & Simkey | Your Personal Guide for Career & Life Goals",Greater Bengaluru Area,HerKey & Simkey,Founder & CEO,https://www.linkedin.com/in/nehabagariaherkey
Murrali,RB,"Founder & CEO, SigniTeq | Championing ABCDs of FutureTech - AI, Blockchain, Cloud Computing, Data & Analytics | Delivering Digital Transformation & Contractors in Over 100+ Countries | Vision UAE 2031 & Vision Saudi 2030","Dubai, United Arab Emirates",SigniTeq Services Private Limited,Founder & CEO,https://www.linkedin.com/in/rbmurrali
Sanskriti,Dawle,Cofounder at Thinkerbell Labs. I believe in doing good by doing well.,"Bengaluru, Karnataka, India",Thinkerbell Labs,Co-Founder,https://www.linkedin.com/in/sanskritidawle
Ajay,Bidyarthy,"Founder & CEO, Blackcoffer | Co-Founder, Netclan | ajay@blackcoffer.com | Open to partnerships and collaborative growth opportunities","Delhi, India",Blackcoffer,Founder & CEO,https://www.linkedin.com/in/asbidyarthy
Tyloo,Kim Young,Geschäftsfrau na Young Decade,Greater Nanjing Area,Young Decade,Geschäftsfrau,https://www.linkedin.com/in/tyloo-kim-young-71a9a4239
Token ,Rush,Owner at Hike,"New Delhi, Delhi, India",Hike,Owner,https://www.linkedin.com/in/token-rush-179bb9226
Vinay Kumar,Singh,"Founder, Mobieos & ZappLogics | Building India’s next lending marketplace | Also shipping AI mobile apps","Bengaluru, Karnataka, India",Zapplogics,Co-Founder/COO,https://www.linkedin.com/in/vinay-kumar-singh-06a13819
Sudeep,Makwana,धर्मो रक्षति रक्षितः 🚩 | Founder @ Diggaj Coder | Node JS | Vuejs | NuxtJS | Kafka | System Design | Mongodb | WebRTC | ReactJs  | Bitcoin | Tech Education Innovator | iGaming | HFT | Algo Trading | Husband Father Geek,"Mumbai, Maharashtra, India",Diggaj Coder,Founder and CEO,https://www.linkedin.com/in/sudeep-makwana-b3594317
Tarun,Maheshwari,Hiring | iOS UX Designers | Jobs@Zapplogics.com,"Bengaluru, Karnataka, India",Zapplogics Solutions,Co-Founder,https://www.linkedin.com/in/tarun-maheshwari-0216622
Tanmay,Dhakar,Co-Founder at GKMIT Pvt Ltd,"Udaipur, Rajasthan, India",GKMIT Pvt Ltd,Co-Founder,https://www.linkedin.com/in/tanmay-dhakar-b78963219
Rush,Verse,Owner at Hike,"New Delhi, Delhi, India",Hike,Owner,https://www.linkedin.com/in/rush-verse-354bba226
TheRush,HQ,Company Owner at Hike,"Delhi, India",Hike,Company Owner,https://www.linkedin.com/in/therush-hq-a99691226
Dianne,Sena,"Proprietário(a), Inovartech","Manaus, Amazonas, Brazil",Inovartech,Proprietário(a),https://www.linkedin.com/in/dianne-sena-251b2631
naveen,kanchan,"Owner, xlnc pvt ltd","Mumbai, Maharashtra, India",xlnc pvt ltd,Owner,https://www.linkedin.com/in/naveen-kanchan-a1a84327
Rrootshell,"Technologiiss PVT Ltd,",Owner,"Bengaluru, Karnataka, India",Rrootshell,Owner,https://www.linkedin.com/in/rrootshell-technologiiss-pvt-ltd-98069254
Udhai,Shankar,Owner at Hike,Greater Coimbatore Area,Hike,Owner,https://www.linkedin.com/in/udhai-shankar-410680ba
MUHAMMED,MUDDASSIR ALI,"Owner, xlnc Technologies","Hyderabad, Telangana, India",xlnc Technologies,Owner,https://www.linkedin.com/in/muhammed-muddassir-ali-7507a815
Kajal,datta,Tech employer  at Onelab Ventures,"Indore, Madhya Pradesh, India",Onelab Ventures,Tech employer ,https://www.linkedin.com/in/kajal-datta-548819423
Sandeep,Aggarwal,"Founder: Droom & ShopClues | 2X Unicorn Founder | Author: Fall Again, Rise Again | Always Building, Scaling & Curious | Angel Investor","Gurgaon, Haryana, India",Droom Technology,Founder & CEO,https://www.linkedin.com/in/sandeepaggarwal
Saurav,Dev,Building | AI × Fintech × Workflow Infrastructure,India,TrustHq,Product & Solutions Consultant,https://www.linkedin.com/in/saurav-dev-50b917204
Priyanka,Sethi,Chief Operating Officer at CodeYogi | Raising hopes — and ensuring they find a path forward.,India,CodeYogi Foundation,Chief Operating Officer,https://www.linkedin.com/in/priyanka-sethi-43443480
Rahul,Jain,"Co-Founder || Chartered Accountant || Building Global IT Sales Team | IT Services | Data, AI and  App Development |","Bengaluru, Karnataka, India",Durapid Technologies Private Limited,Co-Founder,https://www.linkedin.com/in/leadsrahul
Arun,Satyan,Founder @ Hyreo - AI Agents for recruiting,"Newark, Delaware, United States",HYREO,Founder,https://www.linkedin.com/in/arun-satyan-1804aa14
Gourav ,Mourya,Transforming Futures with Expertise in Python | AI/ML | Data Science | Web Design | Digital Marketing & Advanced Excel at Crystaltech,Greater Indore Area,iHR Associations,Associate Member,https://www.linkedin.com/in/gouravmourya
Saif,Shaikh,Co-Founder and Director @Thinkerbell Labs |Building inclusive e-learning products for Visually Impaired| Forbes Asia 30U30,"Bengaluru, Karnataka, India",Thinkerbell Labs,Co-Founder and Director,https://www.linkedin.com/in/saifasas
Mahesh,Agrawal,"CEO, Global Pega Business Unit at Credera | Founder, Areteans | Building the Governed Enterprise",Greater Hyderabad Area,Credera,"CEO, Global Pega Business Unit",https://www.linkedin.com/in/mahesh-agrawal-0921094
Hardik,R.,"Co-founder at Equitysoft | IT Consultant | Expert in AI Technologies, Mobile App, & Web Development | Empowering Businesses with Innovative Tech Solutions | Understanding business need and providing relevant IT solutions","Ahmedabad, Gujarat, India",Equitysoft Technologies Pvt. Ltd,Founder & CEO,https://www.linkedin.com/in/hardik-rupareliya-ceo
Sunil,Singh,"Founder of Securium Solutions, Securium Academy & SecuriumX. Offering strategic cybersecurity services and high-quality certification training to strengthen digital trust and professional growth.","Noida, Uttar Pradesh, India",Cybersecurity 365,Director,https://www.linkedin.com/in/sunil-singh-a2a616144
Aashay,Mishra,Forbes 30U30 | Director @ Career247 · Adda Education | Co-Founded PrepInsta → Acquired by Adda247 | IBM · PwC  · Govt of Tamil Nadu | Building India’s Career Readiness Stack,"Noida, Uttar Pradesh, India",Adda247,Director,https://www.linkedin.com/in/aashaymishra
Nitesh,Sinha,Founder and CEO - Sacumen | Forbes Technology Council Member | IITK | IIMB,"Bengaluru, Karnataka, India",Indian Institute of Management Bangalore,Mentor NSRCEL ,https://www.linkedin.com/in/nitsecy
Apratim,Ghosh,Founder & AI Product Leader | Driving Manufacturing Excellence with Vision AI & Empowering the Creator Economy | AegisVision & Skolasti,"Hyderabad, Telangana, India",Aegis Vision,Founder,https://www.linkedin.com/in/apratimg
Divij,Sehgal,Co-Founder at Aidetic,"Pune Division, Maharashtra, India",Aidetic,Co-Founder,https://www.linkedin.com/in/divij-sehgal-1a970b194
Abhas,Saroha,Co-Founder at Bombay Play,"Bengaluru, Karnataka, India",Bombay Play,Co-Founder,https://www.linkedin.com/in/abhassaroha
Nikhil,Goel,Co-Founder at SalaryBox (YC S21),"Gurugram, Haryana, India",SalaryBox,Co-Founder & CEO,https://www.linkedin.com/in/nikhil-goel
Alok,Halder,CEO & MD @ PCS Global Pvt. Ltd. | Corporate Trainer | SAP Consultant | Full Stack | Salesforce Commerce Cloud (B2C/B2B – LWR) | SFMC | Salesforce |SAP Certified |  10x Salesforce Certified | Global Trainer & Architect,"Bengaluru, Karnataka, India",Perennation Computer Solutions Global Private Limited ,Founder and  Chief Executive Officer (CEO),https://www.linkedin.com/in/alok-halder-765274b
Sunandan,Madan,"Co-Founder at Dhwani Rural Information Systems Pvt Ltd. Supporting Non Profits, CSR and Philanthropies in their Digital Transformation Journey","South Delhi, Delhi, India",Dhwani Rural Information Systems,Co-Founder,https://www.linkedin.com/in/sunandanm
Alok,Kejriwal,"Disney bought my last Company!  Now, Games2win CEO. Passionate Entrepreneur & Hardcore Meditator. Penguin Author of best-sellers “Why I Stopped Wearing My Socks”, “The Cave”, and “Getting Dressed & Parking Cars”!","Mumbai, Maharashtra, India",Games2win India Pvt Ltd,Co-Founder & CEO,https://www.linkedin.com/in/alokkejriwal
Nikita,Jain,"Founder & CEO @ Eubrics | Building AI Talent Manager for Enterprises | Ex PwC, EY","San Francisco, California, United States",Eubrics,Founder & CEO,https://www.linkedin.com/in/nikita-jain-a4012215
Satyam,Nathani,Co-Founder - OTPless | Founding team - BharatPe | IIT Delhi,"Bengaluru, Karnataka, India",OTPless,Co-Founder,https://www.linkedin.com/in/satyamnathani
Tanmay,Sagar,Helping Enterprises boost login conversions 🚀 | Co-Founder @ OTPLESS | Ex-BharatPe | IITD,"Bengaluru, Karnataka, India",OTPless,Co-Founder | Helping B2C apps improve login conversion via OTPLESS,https://www.linkedin.com/in/tanmay-sagar
Lalit,Indoria,Co-Founder & CTO at ClearFeed,"Bengaluru, Karnataka, India",ClearFeed,Co-Founder,https://www.linkedin.com/in/lalitindoria
Aryan,Cooper,"Shaping Tomorrow’s Enterprise with Responsible AI | Thought Leader | Founder @ XLNC | Architecting AI Operating Models, Digital Trust & Scalable Innovation",Mumbai Metropolitan Region,XLNC TECHNOLOGIES,Founder,https://www.linkedin.com/in/aryancooper
Kumar,Mayank,Founder & CEO at Zimyo | IIM Lucknow | Forbes Honoree | Tedx Speaker,"Gurugram, Haryana, India",Zimyo,Founder - Zimyo | #1 Employee Experience Platform,https://www.linkedin.com/in/kumar-mayank-b7683b50
Mahesh,Khambadkone,Co-Founder @ Games2win India Pvt Ltd | Mobile Games,"Mumbai, Maharashtra, India",Games2win India Pvt Ltd,Co-Founder,https://www.linkedin.com/in/khambadkone
Snehasish,Mohapatra,"Founder @ CodeKart | Start-up Leadership, Business Ownership","Bengaluru, Karnataka, India",CodeKart,Founder,https://www.linkedin.com/in/snehasish-mohapatra-87838a201
Ananta Mouli,V,"Founder & CEO — EWall Solutions Pvt Ltd, Chennai",India,EWall Solutions Pvt Ltd,Founder & CEO,https://www.linkedin.com/in/ananta-mouli-v-a932ab2
Maxim,Dsouza,Founder @ Eubrics | Ex-Apple | Building AI Talent Manager For Enterprises  🚀 | Productivity Author 🖋,"San Francisco, California, United States",Eubrics,Co-Founder | CTO,https://www.linkedin.com/in/maxim-dsouza
Sreekantha,D Nayak,Founder @ Lucidspire | AI-Driven Digital Transformation | Staffing (EOR) | ERP | Additional Director @ Mindstaq (India) | Scaling Businesses Globally,"Bengaluru, Karnataka, India",Lucidspire,Founder & Director,https://www.linkedin.com/in/sreekantha-d-nayak
Nidhin,Baby,Founder @ 2Base Technologies | Digital Transformation & Product Engineering Partner | US & UK Markets,"London, England, United Kingdom",2Base Technologies,Founder,https://www.linkedin.com/in/nidhinbaby
Neha,Singh,Co-Founder at Securium Solutions | Business Leader | Ethical Hacker | CISA | Cyber Security |  Helping Businesses Stay Secure with End-to-End Cybersecurity Solutions,Greater Delhi Area,Securium Academy,Founder,https://www.linkedin.com/in/ceo-neha-singh
Samvid,Sharma,"Founder, Atom | Tech for Good | Digital Therapeutics & Mental Health","South Delhi, Delhi, India",Atom,Founder,https://www.linkedin.com/in/samvidsharma
Mritunjoy,Das,IIT Madras | ISRO | Bootstrapped to $Million ARR | Building Hyper-Personalized AI Agents,"Bengaluru, Karnataka, India",Vocallabs AI,Co-Founder,https://www.linkedin.com/in/joeydash
Ankur,Saxena,Building Pregrad | Hiring Leadership across departments ,"Noida, Uttar Pradesh, India",Pregrad,Co-Founder,https://www.linkedin.com/in/ankurrsaxena
Anil,Sharma,Founder | CEO | Global Business & Solutioning Head | @ Mobulous. Passionate About Solving Complex Problems and Delivering Exceptional Solutions,"Noida, Uttar Pradesh, India",Mobulous Technologies,Founder / CEO/ Global Business Head,https://www.linkedin.com/in/anilsharmamobulous
Manav,Gupta,Building UrbanPiper,"Bengaluru, Karnataka, India",UrbanPiper,Co-Founder/ Chief Of Growth,https://www.linkedin.com/in/manavgupt
Biju,Chandran,Founder at  Binaryveda | Building tailored digital products for brands that address genuine user needs and add value | Loves World Cinema & German Shepherds!,"Mumbai, Maharashtra, India",Binaryveda,Founder,https://www.linkedin.com/in/bijuchandran
Rahul,Dangi,Founder and CEO at Onelab Ventures,"Pune Division, Maharashtra, India",Onelab Ventures,Founder and CEO,https://www.linkedin.com/in/dangi-rahul
Ashish,Singh Chauhan,Co-founder & Chief Business Officer @ScatterPie | Let’s modernize analytics |  Ex-BCG,"Mumbai, Maharashtra, India",ScatterPie Analytics,Co-founder & Chief Business Officer,https://www.linkedin.com/in/ashishyoungy
Ketan,Somani,"Helping Startups Build & Ship Engineering Product Faster | 12+ yrs in Fintech, Travel, Sports | Founder @Eternalight","Bengaluru, Karnataka, India",Eternalight Infotech,Founder,https://www.linkedin.com/in/ketansomani74
Aman,Srivastava,TIME Best Invention 2022 | Social Entrepreneur | Co-Founder of Thinkerbell Labs | Forbes Asia 30U30,"Bengaluru, Karnataka, India",Thinkerbell Labs,Co-Founder,https://www.linkedin.com/in/amankaransrivastava
Nayaan,Ratandhayara,"Operator-founder building India’s missing distribution layer | CEO, D3Vi Commerce | Co-founder, Shipyaari (30k+ brands) | Angel Investor | AI in commerce","Mumbai, Maharashtra, India",Shipyaari,Founder & Shareholder,https://www.linkedin.com/in/nayaanratandhayara
