First Name,Last Name,Headline,Location,Company,Title,LinkedIn URL
Siddhi,Chokhani,Co-Founder at The Language Network,"Mumbai, Maharashtra, India",Self-employed,Freelance Translator,https://www.linkedin.com/in/siddhi-chokhani-5a9966204
Mayur,Mundada ,Founder AmbitionBox,"Noida, Uttar Pradesh, India",AmbitionBox,Founder & Business Head,https://www.linkedin.com/in/mayurmundada
Innu,Nevatia,"Now (Go) Building Zwende: Art + Tech = Magic | Empowering Indian artisans and designers to monetise their creativity by showcasing their talent, teaching their craft and selling customized, handcrafted products","Bengaluru, Karnataka, India",Zwende,Co-Founder,https://www.linkedin.com/in/innunevatia
Hansal,Shah,Strategic Engineering & AI Transformation Partner | CEO & Co-Founder @ Technostacks,"Ahmedabad, Gujarat, India",Technostacks,Co-Founder,https://www.linkedin.com/in/shahhansal
Chetan,Jangir,Co-Founder at SaleAssist.ai - Innovating Video Commerce Solutions | Driving Digital Transformation | 100X.VC Funded | Hiring | Ex- Sapient | Ex-GlobalLogic,"Gurugram, Haryana, India",SaleAssist.ai,Co-Founder,https://www.linkedin.com/in/chetanjangir
Rishika,Kumari,Building Swipe (YC S21)🚀 || Co-Founder CometLabs || Hiring for Customer Success & Inside Sales Roles,"Hyderabad, Telangana, India",Swipe (YC S21),Founder's Office ,https://www.linkedin.com/in/rishika789
Akshay,Gugnani,Founder at Expertia AI | Forbes 30u30 Asia | ex-IBM Research | MIT,"Bengaluru, Karnataka, India",Expertia AI,Founder,https://www.linkedin.com/in/akshaygugnani
Sujay,S,good ideas need to be found... great makers need to be celebrated. #Zwende #HereBeMagic,"Bengaluru, Karnataka, India",Zwende,Co-Founder & CEO,https://www.linkedin.com/in/s-sujay
Yamini,Bhat,"Co-founder & CEO, Vymo. Building the operations stack for Global Financial Institutions.","Bengaluru, Karnataka, India",Vymo,Co-founder & CEO,https://www.linkedin.com/in/yamininatti
Niraj,Prasad,Founder & CEO,Mumbai Metropolitan Region,Datacurate,Founder & CEO,https://www.linkedin.com/in/niraj-prasad
Aditya,Chintapalli,"Helping D2C brands leverage WhatsApp in vernacular to increase user acquisition and sales I Co-founder, BusinessOnBot","Bengaluru, Karnataka, India",BoB (BusinessOnBot),Co-Founder,https://www.linkedin.com/in/aditya-chintapalli-a37943110
Anand,Naik,CEO & Co- Founder at Sequretek,India,Sequretek IT Solutions Pvt. Ltd.,Co-Founder & CEO,https://www.linkedin.com/in/anand-naik-4726bb15
Nischaiy,P.,Founding Member at Favcy VB,"New Delhi, Delhi, India",Favcy,Founding Member and Shareholder,https://www.linkedin.com/in/nischaiy
Pankaj,Gupta,Founder & CEO | Entrepreneur of the Year 2024 - Financial Tech | Passionate about Techinnovation & AI | Building SaaS solutions that are reshaping the BFSI landscape.,"Delhi, India",ACT21 Software ,Founder & CEO,https://www.linkedin.com/in/pankaj-gupta-act21
Ajay,Prakash Shukla,"Founder at Jamtech Technologies | Building AI CRM, AI Agents & Automation Systems | Sharing AI, SaaS & Startup Insights","Lucknow, Uttar Pradesh, India",Jamtech Technologies Pvt. Ltd.,Co-Founder,https://www.linkedin.com/in/ajay-prakash-shukla
Mukesh,Singh,Founder at Zop (Now + Smart),"Bengaluru, Karnataka, India",ZopSmart,Founder,https://www.linkedin.com/in/mukri2
Digish,Shah,Co-Founder - intalk.io | HelpInBox ,"Mumbai, Maharashtra, India",intalk.io - Agami Tech Pvt Ltd.,Co-Founder & Head - Global Sales & Alliances,https://www.linkedin.com/in/digishshah
Abdul,Rahman Janoo,"CEO & Co-Founder @ Tericsoft |\n Enterprise AI & Workflow Automation  |\n Production-grade AI systems for scale, cost efficiency, and execution","Hyderabad, Telangana, India",TiE Hyderabad,Member,https://www.linkedin.com/in/abdulrahmanjanoo
Aakaar,Gandhi,"Co-founder - Unberry; Powering intelligent decisions across Hiring, Talent Mobility and L&D","Gurgaon, Haryana, India",Unberry,Co-Founder,https://www.linkedin.com/in/aakaargandhi
Sri Teja,Allaparthi,"Co-founder @ Swipe(YC S21) 🚀 | Building India’s simplest Invoicing, GST & Payments app for 2.5M+ SMBs","Hyderabad, Telangana, India",Swipe (YC S21),Co-Founder & CTO,https://www.linkedin.com/in/sriteja95
Kamal,Sharma,Decision-Ready Analytics for Manufacturers & Law Firms Facing Data Silos | 200+ Projects | Founder @ Addend Analytics,"Alpharetta, Georgia, United States",Addend Analytics: Microsoft D365 & Data Analytics Partner,Founder & Principal Consultant,https://www.linkedin.com/in/kamalmsharma
Manya,Madan,Helping Dietitians/Health Coaches build an Independent Global Business and 3X their online revenue with ZocoNut.\n,"West Delhi, Delhi, India",ZocoNut (Formerly Dietitio),Founder,https://www.linkedin.com/in/manyamadaan
Vinay,Pagaria,Co-Founder at StockEdge,Greater Kolkata Area,Elearnmarkets,Co-Founder ,https://www.linkedin.com/in/vinaypagaria
Paras,Garg,Building Zoconut | Helping Dietitians and Health Coaches Win,"Delhi, India",Zoconut,Co-Founder and CEO,https://www.linkedin.com/in/parasgarg
Harshit,Sharma,"CEO & Founder of Woro, Ledgix, Xoxa | Crafting a Global Digital Ecosystem for Business Success | Expertise in AI Web & Custom Software, SaaS, Cybersecurity, and Automation | Expanding in UAE Hiring in Dubai join us now","Dubai, United Arab Emirates",Woro®,Founder & Group Chief Executive Officer,https://www.linkedin.com/in/harshitworo
